URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,76,35,0.369369366,0.095197255,23.17105263,0.566723453,9.495110434,23.17105263,998,1761,1146,1,6.97941681
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,66,37,0.281553395,0.127317676,45.95652174,0.193945128,18.46018675,45.95652174,615,3171,804,6,6.232385661
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,71,33,0.365384612,0.101364522,56.94117647,0.183884298,22.85002431,56.94117647,890,4840,1021,2,7.032163743
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,71,23,0.510638292,0.106455266,73.10344828,0.111163522,29.28584472,73.10344828,707,6360,873,16,6.151755379
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,25,0.390243898,0.083248731,95.5,0.101470955,38.24058838,95.5,814,8022,981,12,6.6
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,55,26,0.358024687,0.115549215,165.25,0.0626756,66.12507024,165.25,580,9254,696,18,6.4978602
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27,12,0.384615375,0.091981132,221.7555556,0.034572602,88.71605126,221.7555556,345,9979,423,7,6.497641509
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,404 error page not available,,,,,,,,,,,,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,14,0.508771921,0.136363636,296.6388889,0.033149171,118.6688152,296.6388889,354,10679,415,2,6.062200957
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,79,42,0.305785121,0.097032879,145.7840909,0.081222231,58.34612526,145.7840909,1042,12829,1239,9,6.365677626
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,56,62,-0.050847457,0.102164502,134.706422,0.071715589,53.91125504,134.706422,1053,14683,1146,1,6.456277056
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,43,20,0.365079359,0.093195266,263.5833333,0.037938666,105.4485088,263.5833333,600,15815,675,8,6.945266272
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,38,24,0.225806448,0.080206986,229.8918919,0.033564543,91.97018257,229.8918919,571,17012,763,6,6.21992238
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,73,24,0.505154634,0.108379888,278.880597,0.037409687,111.5672027,278.880597,699,18685,888,32,6.32849162
